dish_id,split,total_calories,total_mass,total_fat,total_carb,total_protein
dish_1558031019,test,206.442001,197.0,6.553999,30.423998,7.313
dish_1558031133,test,136.51001,110.0,0.22,32.34,1.76
dish_1558031237,test,31.620001,93.0,0.186,7.44,0.744
dish_1558031302,test,56.98,74.0,0.074,12.58,1.48
dish_1558031351,test,12.3,41.0,0.041,3.116,0.246
dish_1558031394,test,237.410004,318.0,0.521,55.475998,4.23
dish_1558031526,test,76.942001,62.0,0.124,18.228001,0.992
dish_1558031566,test,140.660004,26.0,10.92,0.364,9.62
dish_1558031628,test,31.280001,92.0,0.184,7.36,0.736
dish_1558031675,test,248.882004,180.0,11.228,25.952,11.348
dish_1558032156,test,140.660004,26.0,10.92,0.364,9.62
dish_1558109864,test,213.897003,37.0,18.315001,8.399,8.288
dish_1558109907,test,43.470001,63.0,0.126,11.34,0.441
dish_1558109945,test,74.360001,143.0,0.286,0.429,20.02
dish_1558109986,test,258.450012,75.0,20.475,3.15,14.475
dish_1558110245,test,29.07,51.0,0.153,7.14,0.357
dish_1558110297,test,29.07,51.0,0.153,7.14,0.357
dish_1558110335,test,37.869999,7.0,2.94,0.098,2.59
dish_1558110385,test,52.869999,34.0,3.57,0.408,4.25
dish_1558110436,test,85.629005,69.0,0.138,20.285999,1.104
dish_1558110478,test,205.438995,161.0,6.801,27.931999,8.301001
dish_1558113154,test,37.259998,54.0,0.108,9.72,0.378
dish_1558113204,test,179.210999,31.0,15.345,7.037,6.944
dish_1558113255,test,30.6,90.0,0.18,7.2,0.72
dish_1558113304,test,247.070999,175.0,15.633,23.957001,8.042
dish_1558113430,test,7.84,28.0,0.112,1.484,0.616
dish_1558113477,test,289.050018,50.0,24.75,11.35,11.200001
dish_1558113941,test,296.890015,78.0,24.862,12.834001,11.816001
dish_1558114086,test,74.360001,143.0,0.286,0.429,20.02
dish_1558114145,test,57.27,83.0,0.166,14.940001,0.581
dish_1558114209,test,30.6,90.0,0.18,7.2,0.72
dish_1558114284,test,162.230011,316.0,0.632,22.569,21.320999
dish_1558114441,test,258.450012,75.0,20.475,3.15,14.475
dish_1558114484,test,151.479996,28.0,11.759999,0.392,10.360001
dish_1558114523,test,104.057999,18.0,8.91,4.086,4.032
dish_1558114569,test,26.91,39.0,0.078,7.02,0.273
dish_1558114609,test,540.89801,160.0,41.223,14.648001,29.140001
dish_1558114875,test,74.360001,143.0,0.286,0.429,20.02
dish_1558114937,test,13.72,49.0,0.196,2.597,1.078
dish_1558115011,test,115.620003,20.0,9.9,4.54,4.48
dish_1558115047,test,203.699997,212.0,10.382,7.566,25.578001
dish_1558115169,test,151.479996,28.0,11.759999,0.392,10.360001
dish_1558115241,test,85.470001,111.0,0.111,18.870001,2.22
dish_1558115282,test,74.879997,144.0,0.288,0.432,20.16
dish_1558115320,test,173.430008,30.0,14.85,6.81,6.72
dish_1558115364,test,485.26001,313.0,27.008999,26.504,39.459999
dish_1558115448,test,64.860001,94.0,0.188,16.92,0.658
dish_1558115512,test,434.196014,126.0,34.397999,5.292,24.318001
dish_1558115601,test,85.470001,111.0,0.111,18.870001,2.22
dish_1558115641,test,584.526001,331.0,34.696999,41.082001,27.196001
dish_1558115764,test,151.479996,28.0,11.759999,0.392,10.360001
dish_1558115825,test,42.779999,62.0,0.124,11.160001,0.434
dish_1558115867,test,132.962997,23.0,11.385,5.221,5.152
dish_1558115915,test,203.314011,59.0,16.107,2.478,11.387
dish_1558115960,test,39.27,51.0,0.051,8.67,1.02
dish_1558116001,test,569.807007,223.0,39.426998,27.921001,28.353001
dish_1558116090,test,30.940001,91.0,0.182,7.28,0.728
dish_1558116146,test,76.589996,111.0,0.222,19.980001,0.777
dish_1558116201,test,313.585999,91.0,24.843,3.822,17.563
dish_1558116260,test,433.575012,75.0,37.125,17.025,16.800001
dish_1558116298,test,854.690979,368.0,62.372002,48.107002,35.868004
dish_1558116399,test,7.0,25.0,0.1,1.325,0.55
dish_1558116436,test,91.970001,17.0,7.14,0.238,6.29
dish_1558116486,test,39.329998,57.0,0.114,10.26,0.399
dish_1558116547,test,74.879997,144.0,0.288,0.432,20.16
dish_1558122583,test,46.969997,61.0,0.061,10.37,1.22
dish_1558122740,test,260.149994,304.0,7.703,22.625002,28.618999
dish_1558372433,test,74.360001,143.0,0.286,0.429,20.02
dish_1558372525,test,242.802002,42.0,20.790001,9.534,9.408
dish_1558372650,test,57.27,83.0,0.166,14.940001,0.581
dish_1558372695,test,148.178009,43.0,11.739,1.806,8.299
dish_1558372771,test,522.609985,311.0,32.981003,26.709002,38.307999
dish_1558372948,test,687.939026,119.0,58.904999,27.013,26.656
dish_1558373008,test,251.558014,73.0,19.929001,3.066,14.089001
dish_1558373074,test,73.839996,142.0,0.284,0.426,19.879999
dish_1558373159,test,1013.337036,334.0,79.117996,30.505001,60.625
dish_1558373284,test,389.39801,113.0,30.849001,4.746,21.809
dish_1558373352,test,69.0,100.0,0.2,18.0,0.7
dish_1558373405,test,13.6,40.0,0.08,3.2,0.32
dish_1558373449,test,416.231995,72.0,35.639999,16.344,16.128
dish_1558373492,test,888.22998,325.0,66.768997,42.290001,38.957001
dish_1558373639,test,5.6,20.0,0.08,1.06,0.44
dish_1558373687,test,306.694,89.0,24.297001,3.738,17.177
dish_1558375506,test,73.839996,142.0,0.284,0.426,19.879999
dish_1558375583,test,386.134003,251.0,24.661001,5.224,37.497002
dish_1558375667,test,687.939026,119.0,58.904999,27.013,26.656
dish_1558375732,test,45.540001,66.0,0.132,11.88,0.462
dish_1558375833,test,317.032013,92.0,25.116001,3.864,17.756001
dish_1558375886,test,1050.511108,277.0,84.153,42.757,44.874004
dish_1558376212,test,300.612,52.0,25.74,11.804,11.648001
dish_1558376306,test,372.167999,108.0,29.484001,4.536,20.844
dish_1558376364,test,48.990002,71.0,0.142,12.780001,0.497
dish_1558376437,test,13.26,39.0,0.078,3.12,0.312
dish_1558376483,test,735.030029,270.0,55.444,32.240002,33.301003
dish_1558376734,test,206.76001,60.0,16.380001,2.52,11.58
dish_1558376768,test,74.360001,143.0,0.286,0.429,20.02
dish_1558376801,test,4.2,15.0,0.06,0.795,0.33
dish_1558376874,test,335.298004,58.0,28.710001,13.166,12.992001
dish_1558376938,test,51.060001,74.0,0.148,13.320001,0.518
dish_1558376984,test,671.67804,350.0,45.584,30.23,45.440006
dish_1558377105,test,389.39801,113.0,30.849001,4.746,21.809
dish_1558378516,test,92.459999,134.0,0.268,24.120001,0.938
dish_1558378553,test,393.108002,68.0,33.66,15.436,15.232
dish_1558378634,test,874.966003,315.0,64.777,44.301998,37.979
dish_1558379128,test,36.57,53.0,0.106,9.54,0.371
dish_1558379182,test,323.736023,56.0,27.720001,12.712,12.544001
dish_1558379273,test,227.436005,66.0,18.018,2.772,12.738
dish_1558379324,test,16.32,48.0,0.096,3.84,0.384
dish_1558379391,test,604.062073,223.0,45.939999,28.863998,26.037001
dish_1558379588,test,74.360001,143.0,0.286,0.429,20.02
dish_1558379639,test,385.952026,112.0,30.576,4.704,21.616001
dish_1558379712,test,687.939026,119.0,58.904999,27.013,26.656
dish_1558379876,test,1148.250977,374.0,89.766998,32.146,68.292
dish_1558380014,test,92.459999,134.0,0.268,24.120001,0.938
dish_1558380058,test,208.115997,36.0,17.82,8.172,8.064
dish_1558380152,test,74.360001,143.0,0.286,0.429,20.02
dish_1558380181,test,374.936005,313.0,18.373999,32.721001,29.021999
dish_1558380414,test,35.880001,52.0,0.104,9.360001,0.364
dish_1558380464,test,277.488007,48.0,23.76,10.896,10.752001
dish_1558380527,test,385.952026,112.0,30.576,4.704,21.616001
dish_1558380557,test,699.320068,212.0,54.440002,24.960001,32.732002
dish_1558380804,test,7.56,27.0,0.108,1.431,0.594
dish_1558381032,test,115.620003,20.0,9.9,4.54,4.48
dish_1558381084,test,36.57,53.0,0.106,9.54,0.371
dish_1558381143,test,182.638,53.0,14.469,2.226,10.229
dish_1558381206,test,342.388,153.0,24.582998,17.737,15.674
dish_1558381665,test,17.85,51.0,0.204,3.57,1.224
dish_1558381708,test,16.43,53.0,0.053,3.71,0.954
dish_1558381742,test,78.199997,68.0,7.276,4.284,0.544
dish_1558381819,test,22.1,65.0,0.455,4.42,0.455
dish_1558381840,test,113.849998,69.0,2.484,0.0,21.389999
dish_1558381860,test,94.400002,59.0,8.85,5.31,1.18
dish_1558381943,test,13.8,60.0,0.24,2.16,1.74
dish_1558382263,test,356.629974,425.0,19.562,23.453999,27.487001
dish_1558457415,test,60.799999,80.0,0.0,14.400001,0.8
dish_1558457468,test,23.800001,70.0,0.14,5.6,0.56
dish_1558457530,test,16.0,64.0,0.192,3.2,1.152
dish_1558457577,test,172.604996,111.0,11.655,1.332,13.875
dish_1558457665,test,273.204987,325.0,11.987,24.532001,16.386999
dish_1558458438,test,3.22,14.0,0.056,0.504,0.406
dish_1558458496,test,53.130001,77.0,0.154,13.860001,0.539
dish_1558458541,test,294.830994,51.0,25.245001,11.577,11.424001
dish_1558458584,test,351.181,142.0,25.455,25.941,12.369
dish_1558458737,test,41.599998,32.0,0.096,8.96,0.864
dish_1558458847,test,74.360001,143.0,0.286,20.02,0.429
dish_1558458903,test,115.620003,20.0,9.9,4.54,4.48
dish_1558459020,test,10.98,61.0,0.122,2.379,0.549
dish_1558459059,test,28.98,42.0,0.084,7.56,0.294
dish_1558459115,test,271.540009,298.0,10.487999,43.459003,6.616
dish_1558459276,test,102.699997,79.0,0.237,22.120001,2.133
dish_1558459395,test,208.115997,36.0,17.82,8.172,8.064
dish_1558459462,test,58.650002,85.0,0.17,15.3,0.595
dish_1558459528,test,11.52,64.0,0.128,2.496,0.576
dish_1558459602,test,2.07,9.0,0.036,0.324,0.261
dish_1558459664,test,383.055969,273.0,18.390999,48.411999,11.629001
dish_1558459945,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558459994,test,25.530001,37.0,0.074,6.66,0.259
dish_1558460061,test,40.709999,59.0,0.118,10.620001,0.413
dish_1558460138,test,10.08,56.0,0.112,2.184,0.504
dish_1558460205,test,1.84,8.0,0.032,0.288,0.232
dish_1558460908,test,151.999985,302.0,0.62,39.632,1.834
dish_1558461431,test,1.15,5.0,0.02,0.18,0.145
dish_1558461607,test,87.629997,127.0,0.254,22.860001,0.889
dish_1558461692,test,231.240005,40.0,19.799999,9.08,8.96
dish_1558461760,test,10.98,61.0,0.122,2.379,0.549
dish_1558461792,test,331.0,233.0,20.195999,34.499001,10.543
dish_1558462036,test,2.99,13.0,0.052,0.468,0.377
dish_1558462106,test,25.530001,37.0,0.074,6.66,0.259
dish_1558462228,test,22.099998,17.0,0.051,4.76,0.459
dish_1558462531,test,12.960001,72.0,0.144,2.808,0.648
dish_1558463113,test,63.579998,139.0,0.321,14.696001,1.743
dish_1558463362,test,20.880001,116.0,0.232,4.524,1.044
dish_1558463429,test,42.09,61.0,0.122,10.98,0.427
dish_1558463562,test,369.984009,64.0,31.68,14.528,14.336
dish_1558463690,test,432.95401,241.0,32.034,30.032001,15.807
dish_1558468285,test,12.32,44.0,0.176,2.332,0.968
dish_1558468401,test,75.200005,47.0,7.05,4.23,0.94
dish_1558468435,test,28.0,80.0,0.32,5.6,1.92
dish_1558468494,test,15.785,77.0,0.231,2.618,0.693
dish_1558468547,test,6.97,34.0,0.102,1.156,0.306
dish_1558468589,test,12.1,55.0,0.165,1.815,1.705
dish_1558468632,test,169.949997,103.0,3.708,0.0,31.93
dish_1558468731,test,320.325012,440.0,11.752,17.750999,38.461998
dish_1558544427,test,160.164993,103.0,10.815,1.236,12.875
dish_1558544482,test,38.189999,67.0,0.201,9.38,0.469
dish_1558544663,test,141.440002,208.0,2.912,24.959999,4.992
dish_1558544870,test,198.354996,170.0,11.016,10.616,13.344
dish_1558545738,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558546434,test,2.53,11.0,0.044,0.396,0.319
dish_1558546558,test,254.364014,44.0,21.780001,9.988,9.856
dish_1558546663,test,330.734009,197.0,22.108002,30.264,10.601
dish_1558546918,test,70.199997,54.0,0.162,15.12,1.458
dish_1558547008,test,73.919998,96.0,0.096,16.32,1.92
dish_1558547068,test,2.53,11.0,0.044,0.396,0.319
dish_1558547124,test,144.525009,25.0,12.375,5.675,5.6
dish_1558547205,test,291.174988,186.0,12.676999,37.510998,9.297001
dish_1558548666,test,97.5,75.0,0.225,21.0,2.025
dish_1558548958,test,2.3,10.0,0.04,0.36,0.29
dish_1558549008,test,20.700001,115.0,0.23,4.485,1.035
dish_1558549086,test,73.150002,95.0,0.095,16.15,1.9
dish_1558549150,test,45.540001,66.0,0.132,11.88,0.462
dish_1558549214,test,239.190002,361.0,0.722,53.875004,5.712
dish_1558549413,test,682.15802,118.0,58.41,26.785999,26.432001
dish_1558549605,test,97.5,75.0,0.225,21.0,2.025
dish_1558549773,test,2.3,10.0,0.04,0.36,0.29
dish_1558549806,test,781.958008,203.0,58.674999,48.146,28.747002
dish_1558550079,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558550127,test,127.182007,22.0,10.89,4.994,4.928
dish_1558550181,test,28.98,42.0,0.084,7.56,0.294
dish_1558550218,test,230.001999,206.0,11.258,32.433998,5.648
dish_1558628339,test,70.330002,13.0,5.46,0.182,4.81
dish_1558628515,test,31.92,56.0,0.168,7.84,0.392
dish_1558628711,test,129.064499,129.0,0.129,30.573,1.677
dish_1558628760,test,231.314499,198.0,5.757,38.595001,6.879
dish_1558628888,test,111.959999,72.0,7.56,0.864,9.0
dish_1558628921,test,24.6,60.0,0.12,6.0,0.54
dish_1558628956,test,9.044001,14.0,0.476,0.448,0.854
dish_1558629013,test,26.400002,80.0,0.24,6.4,0.56
dish_1558629041,test,172.004013,226.0,8.396,13.712,10.954
dish_1558629398,test,21.76,64.0,0.448,4.352,0.448
dish_1558629444,test,225.459,39.0,19.305,8.853,8.736
dish_1558629488,test,16.0,64.0,0.192,3.2,1.152
dish_1558629517,test,263.218994,167.0,19.945,16.404999,10.336
dish_1558629578,test,22.5,90.0,0.27,4.5,1.62
dish_1558629644,test,4.2,15.0,0.06,0.795,0.33
dish_1558629677,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558629715,test,100.539993,247.0,0.614,25.174999,2.376
dish_1558629818,test,156.087006,27.0,13.365,6.129,6.048
dish_1558629878,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558630006,test,51.75,75.0,0.15,13.500001,0.525
dish_1558630038,test,12.75,51.0,0.153,2.55,0.918
dish_1558630072,test,294.427002,295.0,13.952,42.058998,7.917001
dish_1558630176,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558630207,test,670.596008,116.0,57.420002,26.332001,25.984001
dish_1558630288,test,7.106,11.0,0.374,0.352,0.671
dish_1558630325,test,751.541992,269.0,58.078003,46.563999,27.081001
dish_1558630450,test,86.25,125.0,0.25,22.5,0.875
dish_1558630488,test,29.92,88.0,0.176,7.04,0.704
dish_1558630600,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558630649,test,190.009995,355.0,0.71,49.419998,2.005
dish_1558630737,test,22.25,89.0,0.267,4.45,1.602
dish_1558630814,test,196.554001,34.0,16.83,7.718,7.616
dish_1558630867,test,73.839996,142.0,0.284,19.879999,0.426
dish_1558630932,test,292.643982,265.0,17.381001,32.048,9.644
dish_1558631825,test,118.832001,112.0,2.688,24.639999,3.472
dish_1558631872,test,16.02,89.0,0.178,3.471,0.801
dish_1558631904,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558631932,test,214.931992,355.0,3.174,49.670998,4.735
dish_1558632080,test,72.148003,68.0,1.632,14.96,2.108
dish_1558632130,test,33.66,99.0,0.198,7.92,0.792
dish_1558632198,test,16.796001,26.0,0.884,0.832,1.586
dish_1558632233,test,122.604004,193.0,2.714,23.712,4.486
dish_1558632445,test,526.070984,91.0,45.045002,20.657,20.384001
dish_1558632475,test,118.832001,112.0,2.688,24.639999,3.472
dish_1558632799,test,20.159,19.0,0.456,4.18,0.589
dish_1558632921,test,80.599998,155.0,0.31,21.700001,0.465
dish_1558632959,test,16.02,89.0,0.178,3.471,0.801
dish_1558632990,test,25.25,101.0,0.303,5.05,1.818
dish_1558633158,test,34.849998,85.0,0.17,8.5,0.765
dish_1558633221,test,176.878998,449.0,1.417,42.901001,4.438
dish_1558635400,test,25.0,100.0,0.3,5.0,1.8
dish_1558635489,test,78.514,74.0,1.776,16.280001,2.294
dish_1558635523,test,55.899998,43.0,0.129,12.04,1.161
dish_1558635546,test,60.839996,117.0,0.234,16.379999,0.351
dish_1558635618,test,220.253998,334.0,2.439,49.700001,5.606
dish_1558635865,test,20.159,19.0,0.456,4.18,0.589
dish_1558635933,test,33.32,98.0,0.196,7.84,0.784
dish_1558635962,test,52.028999,9.0,4.455,2.043,2.016
dish_1558635994,test,93.839996,136.0,0.272,24.480001,0.952
dish_1558636028,test,199.347992,262.0,5.379,38.542999,4.341
dish_1558636388,test,24.0,96.0,0.288,4.8,1.728
dish_1558636483,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558636514,test,16.02,89.0,0.178,3.471,0.801
dish_1558636544,test,410.451019,71.0,35.145,16.117001,15.904
dish_1558636582,test,530.551025,410.0,35.918999,45.948002,18.895
dish_1558636763,test,60.839996,117.0,0.234,16.379999,0.351
dish_1558636813,test,60.720001,88.0,0.176,15.84,0.616
dish_1558636868,test,46.248001,8.0,3.96,1.816,1.792
dish_1558636902,test,38.950001,95.0,0.19,9.5,0.855
dish_1558636928,test,16.02,89.0,0.178,3.471,0.801
dish_1558636980,test,222.778,397.0,4.738,47.007004,4.415
dish_1558637214,test,11.04,16.0,0.032,2.88,0.112
dish_1558637247,test,117.770996,111.0,2.664,24.42,3.441
dish_1558637351,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558637393,test,739.968018,128.0,63.360001,29.056,28.672001
dish_1558637423,test,948.859009,409.0,66.363998,77.916,32.687
dish_1558637698,test,12.25,49.0,0.147,2.45,0.882
dish_1558637769,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558637865,test,71.086998,67.0,1.608,14.74,2.077
dish_1558637896,test,84.870003,123.0,0.246,22.140001,0.861
dish_1558637932,test,248.286987,393.0,2.309,60.889999,4.282
dish_1558638137,test,60.839996,117.0,0.234,16.379999,0.351
dish_1558638163,test,40.59,99.0,0.198,9.900001,0.891
dish_1558638216,test,55.899998,43.0,0.129,12.04,1.161
dish_1558638292,test,190.309982,356.0,0.755,46.080002,3.179
dish_1558638844,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558638896,test,22.68,126.0,0.252,4.914,1.134
dish_1558638924,test,6.25,25.0,0.075,1.25,0.45
dish_1558638954,test,89.010002,129.0,0.258,23.220001,0.903
dish_1558638983,test,59.416,56.0,1.344,12.32,1.736
dish_1558639012,test,257.436005,490.0,2.237,63.264,4.685
dish_1558639089,test,19.32,28.0,0.056,5.04,0.196
dish_1558639138,test,22.139999,54.0,0.108,5.4,0.486
dish_1558639167,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558639195,test,238.25,346.0,3.112,56.199997,4.554
dish_1558639221,test,24.5,98.0,0.294,4.9,1.764
dish_1558639266,test,30.768999,29.0,0.696,6.38,0.899
dish_1558639306,test,40.59,99.0,0.198,9.900001,0.891
dish_1558639335,test,60.32,116.0,0.232,16.24,0.348
dish_1558639362,test,156.179001,342.0,1.42,37.420002,3.902
dish_1558639412,test,32.98,97.0,0.194,7.76,0.776
dish_1558639440,test,60.32,116.0,0.232,16.24,0.348
dish_1558639482,test,30.768999,29.0,0.696,6.38,0.899
dish_1558639526,test,31.98,78.0,0.156,7.8,0.702
dish_1558639555,test,156.049011,320.0,1.278,38.18,2.725
dish_1558639588,test,121.401001,21.0,10.395,4.767,4.704
dish_1558639630,test,116.709999,110.0,2.64,24.200001,3.41
dish_1558639662,test,16.02,89.0,0.178,3.471,0.801
dish_1558639673,test,16.02,89.0,0.178,3.471,0.801
dish_1558639683,test,16.02,89.0,0.178,3.471,0.801
dish_1558639752,test,254.130997,220.0,13.213,32.438004,8.915
dish_1558639787,test,24.75,99.0,0.297,4.95,1.782
dish_1558639818,test,20.059999,59.0,0.118,4.72,0.472
dish_1558639849,test,23.369999,57.0,0.114,5.7,0.513
dish_1558639876,test,68.18,215.0,0.529,15.370001,2.767
dish_1558639907,test,10.440001,58.0,0.116,2.262,0.522
dish_1558639949,test,21.76,64.0,0.128,5.12,0.512
dish_1558639979,test,520.290039,90.0,44.549999,20.43,20.16
dish_1558640008,test,552.490051,212.0,44.793999,27.812,21.194
dish_1558640039,test,40.18,98.0,0.196,9.8,0.882
dish_1558640074,test,60.32,116.0,0.232,16.24,0.348
dish_1558640105,test,77.453003,73.0,1.752,16.059999,2.263
dish_1558640145,test,177.953003,287.0,2.18,42.099998,3.493
dish_1558640190,test,19.719999,58.0,0.116,4.64,0.464
dish_1558640238,test,22.68,126.0,0.252,4.914,1.134
dish_1558640267,test,63.48,92.0,0.184,16.560001,0.644
dish_1558640294,test,42.400002,184.0,0.368,9.554,1.598
dish_1558640311,test,105.879997,276.0,0.552,26.114,2.242
dish_1558640373,test,105.880005,276.0,0.552,26.114,2.242
dish_1558640418,test,14.349999,35.0,0.07,3.5,0.315
dish_1558640450,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558640477,test,59.416,56.0,1.344,12.32,1.736
dish_1558640513,test,153.845993,245.0,1.722,37.379997,2.513
dish_1558640563,test,4.14,23.0,0.046,0.897,0.207
dish_1558640593,test,60.32,116.0,0.232,16.24,0.348
dish_1558640604,test,60.839996,117.0,0.234,16.379999,0.351
dish_1558640614,test,60.32,116.0,0.232,16.24,0.348
dish_1558640671,test,32.299999,95.0,0.19,7.6,0.76
dish_1558640705,test,96.759995,234.0,0.468,24.737,1.315
dish_1558640748,test,14.5,58.0,0.174,2.9,1.044
dish_1558640781,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558640808,test,10.66,26.0,0.052,2.6,0.234
dish_1558640849,test,105.23999,238.0,0.534,27.059999,1.74
dish_1558640882,test,32.299999,95.0,0.19,7.6,0.76
dish_1558640917,test,5.25,21.0,0.063,1.05,0.378
dish_1558640941,test,21.73,53.0,0.106,5.3,0.477
dish_1558640979,test,59.279999,169.0,0.359,13.95,1.615
dish_1558641007,test,23.369999,57.0,0.114,5.7,0.513
dish_1558641037,test,60.839996,117.0,0.234,16.379999,0.351
dish_1558641075,test,12.42,69.0,0.138,2.691,0.621
dish_1558641108,test,96.62999,243.0,0.486,24.771,1.485
dish_1558641164,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558641200,test,3.28,8.0,0.016,0.8,0.072
dish_1558641211,test,3.28,8.0,0.016,0.8,0.072
dish_1558641253,test,116.709999,110.0,2.64,24.200001,3.41
dish_1558641287,test,11.52,64.0,0.128,2.496,0.576
dish_1558641320,test,211.589996,336.0,3.092,49.055996,4.52
dish_1558641358,test,24.25,97.0,0.291,4.85,1.746
dish_1558641391,test,19.719999,58.0,0.116,4.64,0.464
dish_1558641416,test,59.416,56.0,1.344,12.32,1.736
dish_1558641442,test,103.386002,211.0,1.751,21.809999,3.946
dish_1558641897,test,116.709999,110.0,2.64,24.200001,3.41
dish_1558641926,test,80.079994,154.0,0.308,21.559999,0.462
dish_1558641954,test,18.360001,102.0,0.204,3.978,0.918
