ingredient_id,ingredient_name,calories_per_100g,fat_per_100g,carb_per_100g,protein_per_100g
ingr_0000000257,brownies,466.09999999999997,28.799999999999997,49.8,6.2
ingr_0000000262,yogurt,58.9,0.4,3.5999999999999996,10.0
ingr_0000000264,bagels,250.0,1.5000000000000002,49.0,10.100000000000001
ingr_0000000273,sandwiches,232.9,13.0,17.9,11.000000000000002
ingr_0000000275,frozen yogurt,163.3,5.9,24.5,4.1000000000000005
ingr_0000000287,toast,313.1,4.2,55.49999999999999,13.0
ingr_0000000291,salt,0.0,0.0,0.0,0.0
ingr_0000000294,granola,469.29999999999995,20.4,64.7,10.0
ingr_0000000297,pepperoni,493.6,43.8,0.0,23.1
ingr_0000000306,croutons,408.1,6.7,72.30000000000001,12.0
ingr_0000000312,pepper,40.0,0.2,9.3,2.0
ingr_0000000318,flour,364.1,1.0,76.0,10.200000000000001
ingr_0000000319,feta cheese,264.1,21.1,4.2,13.799999999999999
ingr_0000000320,black beans,132.0,0.5,23.700000000000003,8.9
ingr_0000000328,sugar,388.0,0.0,100.0,0.0
ingr_0000000332,salmon,178.0,8.0,0.0,24.000000000000004
ingr_0000000335,eggplant,24.8,0.2,5.8999999999999995,1.0
ingr_0000000337,waffles,290.3,14.3,32.7,7.9
ingr_0000000338,vinaigrette,465.5,51.800000000000004,2.6,0.0
ingr_0000000341,cream,336.29999999999995,36.6,2.6999999999999997,2.8000000000000003
ingr_0000000342,turnips,21.700000000000003,0.1,5.1,0.7000000000000001
ingr_0000000347,baby carrots,41.0,0.2,10.0,0.9000000000000001
ingr_0000000349,mangos,60.60000000000001,0.4,15.000000000000002,0.8
ingr_0000000357,lentils,114.00000000000001,0.4,20.0,9.0
ingr_0000000364,sunflower seeds,546.0,50.0,15.0,18.999999999999996
ingr_0000000367,lime,30.0,0.2,10.5,0.7000000000000001
ingr_0000000372,chilaquiles,195.00000000000003,12.0,12.0,8.9
ingr_0000000375,fruit salad,59.0,0.3,15.0,0.8
ingr_0000000377,quinoa,120.00000000000001,1.9,21.000000000000004,4.4
ingr_0000000380,pizza,266.0,9.700000000000001,33.0,11.0
ingr_0000000392,pepperoni pizza,282.0,12.000000000000002,32.0,12.000000000000002
ingr_0000000402,tuna,130.0,0.6,0.0,28.999999999999996
ingr_0000000409,greek salad,112.99999999999999,9.4,4.7,3.2
ingr_0000000413,pilaf,159.2,4.9,25.6,2.5
ingr_0000000415,cereal,376.0,6.7,73.0,12.0
ingr_0000000421,ground turkey,257.99999999999994,17.0,0.0,25.0
ingr_0000000425,goat cheese,264.0,21.000000000000004,0.0,19.0
ingr_0000000428,white wine,82.0,0.0,2.6,0.1
ingr_0000000433,roasted potatoes,141.0,6.799999999999999,18.0,2.0999999999999996
ingr_0000000434,sour cream,198.0,19.0,4.6,2.4
ingr_0000000437,sweet potato,76.0,0.0,18.0,1.0
ingr_0000000440,grapes,69.0,0.2,18.0,0.7000000000000001
ingr_0000000441,butter,717.0,81.0,0.1,0.8
ingr_0000000448,jalapenos,28.999999999999996,0.3999999999999999,6.499999999999999,0.8999999999999999
ingr_0000000453,deprecated,52.0,0.2,0.3,13.999999999999998
ingr_0000000455,cookies,492.0,25.0,65.0,5.1
ingr_0000000457,sun dried tomatoes,258.0,3.0000000000000004,56.00000000000001,14.000000000000002
ingr_0000000458,deprecated,30.0,0.1,7.6,0.6
ingr_0000000462,pork,238.0,13.999999999999998,0.0,26.0
ingr_0000000463,beets,44.0,0.2,10.0,1.7000000000000002
ingr_0000000471,cherry tomatoes,18.0,0.2,3.9,0.9000000000000001
ingr_0000000472,couscous,111.99999999999999,0.2,23.0,3.8
ingr_0000000473,cranberries,46.0,0.1,12.0,0.49999999999999994
ingr_0000000475,salsa,28.999999999999996,0.2,6.6000000000000005,1.5
ingr_0000000484,chicken salad,227.0,16.0,2.9000000000000004,17.0
ingr_0000000485,zucchini,15.0,0.4,2.7,1.1
ingr_0000000495,cream cheese,349.99999999999994,34.0,5.499999999999999,6.199999999999999
ingr_0000000498,orange juice,47.0,0.1,11.0,0.7000000000000001
ingr_0000000502,milk,51.0,1.9,5.0,3.5000000000000004
ingr_0000000507,mandarin oranges,53.0,0.3,13.0,0.8
ingr_0000000508,soy sauce,53.0,0.6,4.9,8.1
ingr_0000000510,chicken apple sausage,160.0,10.0,3.0,14.000000000000002
ingr_0000000511,spinach (cooked),23.0,0.0,3.9999999999999996,3.0
ingr_0000000512,kimchi,30.0,0.1,5.699999999999999,1.6
ingr_0000000513,millet,119.0,1.0,23.700000000000003,3.4999999999999996
ingr_0000000514,wheat berry,91.0,0.5,19.1,4.2
ingr_0000000515,arugula,25.0,0.7,3.6999999999999997,2.6
ingr_0000000516,rosemary,131.0,5.7,20.0,2.9000000000000004
ingr_0000000517,chard,18.999999999999996,0.2,3.6999999999999997,1.7999999999999998
ingr_0000000518,thyme,100.99999999999997,1.7000000000000002,24.0,6.0
ingr_0000000519,oregano,270.0,4.0,69.0,9.000000000000002
ingr_0000000520,lemon juice,17.0,0.0,5.6000000000000005,0.4
ingr_0000000521,basil,24.0,0.0,2.0,4.0
ingr_0000000522,tatsoi,22.0,0.3,3.9,2.1999999999999997
ingr_0000000523,cilantro,22.799999999999997,0.49999999999999994,3.6999999999999997,2.1999999999999997
ingr_0000000524,parsley,37.1,0.8,6.4,2.9
ingr_0000000525,bok choy,12.999999999999998,0.2,2.1999999999999997,1.5
ingr_0000000526,mustard greens,27.0,0.4000000000000001,4.7,2.9000000000000004
ingr_0000000527,chive,30.0,0.7000000000000001,4.3999999999999995,3.3000000000000003
ingr_0000000528,celery root,42.0,0.3,9.2,1.5
ingr_0000000529,chayote squash,24.0,0.5,5.1000000000000005,0.6
ingr_0000000531,pumpkin seeds,446.0,18.999999999999996,53.99999999999999,18.999999999999996
ingr_0000000532,pesto,562.0,54.900000000000006,8.000000000000002,12.100000000000001
ingr_0000000534,country rice,152.04,6.799999999999999,31.599999999999994,3.8599999999999994
ingr_0000000535,green onions,31.999999999999996,0.2,6.999999999999999,1.7999999999999998
ingr_0000000536,banana with peel,55.60000000000001,0.2,14.400000000000002,0.7000000000000001
ingr_0000000537,orange with peel,29.4,0.1,7.500000000000001,0.6
ingr_0000000538,jicama,38.0,0.1,9.000000000000002,0.7000000000000001
ingr_0000000539,nopales,16.0,0.09999999999999998,3.3000000000000003,1.4000000000000001
ingr_0000000540,ginger,80.0,0.8,18.0,1.7999999999999998
ingr_0000000541,tomatillo,32.0,1.0,6.000000000000001,1.0
ingr_0000000542,white beans,139.0,0.4,25.1,9.700000000000001
ingr_0000000543,chia seeds,485.99999999999994,31.0,42.0,17.0
ingr_0000000545,greek yogurt,59.0,0.4,3.5999999999999996,10.0
ingr_0000000546,,88.0,0.0,17.0,0.5
